gene_name,SCZ.log2FC,SCZ.fdr
AC005592.3,-0.075833355,0.298020908
AC005606.14,-0.025351173,0.899492259
AC005606.15,-0.11036247,0.307062752
AC005609.1,0.008198834,0.933248181
AC005614.5,0.16136863,0.195382232
AC005618.1,4.73E-05,0.999567785
AC005618.6,-0.014549337,0.727623168
AC005682.5,0.019398447,0.882398401
AC005730.2,-0.030422521,0.742794582
AC005740.3,-0.084726381,0.258891539
AC005740.6,-0.088664057,0.195327728
AC005754.7,-0.031986828,0.740086973
AC005754.8,-0.012339846,0.814866974
AC005775.2,0.02028317,0.897305507
AC005776.1,-0.066458759,0.505057853
AC005785.2,0.125911096,0.073395885
AC005786.7,-0.149134995,0.269811129
AC005789.11,-0.050432573,0.326031804
AC005822.1,-0.016454415,0.890682598
AC005841.1,-0.04092547,0.60851161
AC005884.1,-0.213970569,0.007594368
AC005943.4,-0.014313982,0.908104616
AC005943.5,-0.055466561,0.320820791
AC005944.2,-0.047046297,0.743317923
AC006001.1,0.019117785,0.858930621
AC006003.3,-0.093739156,0.212049435
AC006011.4,0.113025938,0.448657779
AC006014.10,-0.073908396,0.612084811
AC006014.7,-0.076243163,0.363862092
AC006014.8,-0.013784411,0.893390002
AC006019.3,-0.081691595,0.188227678
AC006019.4,-0.044879232,0.547912245
AC006042.6,-0.044165457,0.612544051
AC006042.8,-0.083369671,0.159307011
AC006111.1,-0.025649154,0.800903407
AC006115.3,-0.018125876,0.557027759
AC006116.13,0.067622897,0.438356809
AC006116.17,-0.006425292,0.935616873
AC006116.19,-0.092583401,0.223030051
AC006116.20,-0.137351761,0.076003553
AC006116.22,0.012992767,0.885454909
AC006116.24,-0.031080649,0.775667866
AC006116.27,0.082411825,0.476652284
AC006129.2,-0.159659398,0.087805837
AC006129.4,-0.030452126,0.821565407
AC006160.5,0.052871102,0.602083037
AC006195.2,0.08829888,0.27310319
AC006262.5,-0.018673033,0.851772978
AC006262.6,0.041834686,0.310621695
AC006272.1,0.05948791,0.509201676
AC006277.2,-0.083899943,0.342793679
AC006355.3,0.027518706,0.679222156
AC006427.2,0.039708988,0.680875422
AC006449.1,-0.109176054,0.320954802
AC006461.2,0.011340718,0.892112359
AC006465.4,0.064898282,0.344693758
AC006466.5,0.033145043,0.708177685
AC006486.1,0.003832263,0.962025239
AC006486.9,0.01985607,0.940354667
AC006538.1,-0.069889156,0.044371209
AC006538.4,-0.202666352,0.128093192
AC006547.13,-0.008386293,0.871377137
AC006547.14,-0.134839554,0.066800247
AC006942.4,0.118256575,0.105730286
AC006946.12,0.015681317,0.859741494
AC006946.15,-0.085203781,0.039513861
AC006946.16,0.033162633,0.37334021
AC006946.17,-0.001395566,0.986808743
AC006978.6,0.026925952,0.3193704
AC006994.1,0.001139963,0.991065294
AC006995.8,-0.070467532,0.318908206
AC007000.10,0.025043179,0.821900477
AC007000.12,0.010774292,0.906304446
AC007009.1,-0.082660483,0.220596418
AC007014.1,0.01891219,0.851895376
AC007036.4,-0.033704006,0.739182666
AC007036.6,-0.09201356,0.201810937
AC007038.7,-0.027551548,0.565589525
AC007064.24,0.043997534,0.641646302
AC007092.1,-0.026193646,0.272793935
AC007131.1,-0.003139349,0.970943691
AC007161.5,-0.028422018,0.667708262
AC007163.3,-0.038240243,0.710059003
AC007192.6,0.009679533,0.890608556
AC007193.10,0.204245055,0.001199827
AC007193.6,0.071765142,0.401583486
AC007228.11,0.034952636,0.394535846
AC007228.5,-0.081171595,0.372507843
AC007228.9,0.050177643,0.68039212
AC007229.3,-0.01430878,0.907560439
AC007237.2,-0.041351232,0.457203684
AC007238.1,0.026501602,0.797171616
AC007246.3,-0.016437522,0.533816778
AC007249.3,-0.090842922,0.285167241
AC007255.8,-0.10051798,0.12006874
AC007256.5,0.06226751,0.268916712
AC007276.5,0.04724201,0.138591614
AC007277.3,0.01930842,0.859461004
AC007279.2,-0.060713804,0.335718313
AC007283.5,0.048414069,0.736845456
AC007285.6,-0.09026927,0.28371165
AC007285.7,-0.011371991,0.915055053
AC007292.3,-0.014051401,0.868852101
AC007292.6,-0.061822491,0.294119858
AC007292.7,-0.073058482,0.306370334
AC007308.6,-0.040572396,0.460428478
AC007308.7,-0.049589664,0.710006937
AC007318.5,0.047148752,0.493070444
AC007326.9,-0.027164987,0.762499652
AC007347.1,0.141518988,0.341470925
AC007362.1,0.053570055,0.127359412
AC007375.1,-0.007406013,0.882229733
AC007383.3,-0.020123556,0.669244056
AC007383.4,-0.31913513,0.049486857
AC007386.3,0.047803814,0.602704168
AC007386.4,-0.001111599,0.991552003
AC007390.5,0.024625839,0.30488174
AC007401.1,-0.02852122,0.701834772
AC007401.2,-0.102294639,0.168025054
AC007405.4,-0.034652309,0.657278496
AC007405.6,-0.019858577,0.717171402
AC007405.8,-0.046128665,0.662744901
AC007461.1,0.055318605,0.570849801
AC007464.1,-5.7E-05,0.99935784
AC007551.3,0.002121044,0.965252473
AC007557.3,-0.010213311,0.926834281
AC007563.1,0.013091573,0.872153163
AC007563.3,0.020596952,0.863537362
AC007563.5,0.014072481,0.912721948
AC007566.10,-0.079369284,0.060790455
AC007618.3,-0.053976839,0.540401375
AC007620.3,-0.00798008,0.894368382
AC007690.1,-0.254849546,9.26E-07
AC007740.1,-0.025304295,0.747049797
AC007743.1,-0.001249462,0.979847794
AC007750.5,-0.182431913,0.00110983
AC007773.2,0.023552169,0.855403056
AC007773.3,-0.071195263,0.481312224
AC007787.2,0.012018928,0.923293471
AC007790.4,0.002410941,0.976374108
AC007796.1,-0.041953885,0.68123347
AC007875.2,-0.05697388,0.467666512
AC007875.3,-0.070907852,0.365346358
AC007899.3,-0.037799489,0.637346542
AC007919.19,0.04673937,0.454507112
AC007952.5,0.023909773,0.85343025
AC007952.6,0.102453126,0.330817789
AC007956.1,0.137293287,0.157113191
AC007966.1,0.019745967,0.889695488
AC007969.5,0.071442998,0.438356809
AC007970.1,-0.021283256,0.81820769
AC008060.7,-0.028554265,0.851433622
AC008067.2,0.057574795,0.369827565
AC008069.1,-0.034357865,0.784564544
AC008073.9,-0.057168686,0.485749867
AC008074.3,-0.11700604,0.15490546
AC008074.5,-0.047654739,0.540892095
AC008132.13,-0.103899041,0.310621695
AC008132.14,0.010664101,0.933937735
AC008174.3,-0.103685289,0.186764792
AC008269.2,-0.021902842,0.7920207
AC008277.1,-0.019785097,0.740607128
AC008443.1,0.03823742,0.713311554
AC008592.8,0.070194097,0.495752592
AC008697.1,-0.224131798,0.001197326
AC008738.1,-0.112088262,0.270930003
AC008746.12,0.164601192,0.016046456
AC008746.3,-0.007731865,0.948412529
AC008850.3,-0.000279113,0.997279248
AC008865.1,-0.019870145,0.584541557
AC008948.1,-0.052976523,0.57266775
AC008964.1,-0.107068833,0.221137037
AC008992.1,-0.01409538,0.908826845
AC009005.2,0.032889952,0.793169544
AC009014.3,-0.17885777,0.001470063
AC009060.1,0.032501283,0.76934333
AC009061.1,0.130362984,0.141141032
AC009095.4,-0.087534926,0.203881389
AC009120.3,-0.161252706,0.007693974
AC009120.4,0.037287365,0.740894094
AC009120.5,-0.012170452,0.911914927
AC009120.6,-0.004402338,0.961751154
AC009133.12,0.056579523,0.408902328
AC009133.14,0.021432225,0.747613803
AC009133.15,0.017268769,0.947720169
AC009227.2,0.052205702,0.559414445
AC009228.1,-0.087180549,0.388487147
AC009229.4,0.135889262,0.128741641
AC009232.2,0.014594552,0.895270817
AC009234.1,-0.049928393,0.425071152
AC009237.11,-0.079839247,0.214469258
AC009237.8,0.007652954,0.830715775
AC009245.3,-0.110248793,0.226439227
AC009274.6,-0.083961812,0.300159057
AC009299.2,0.037993057,0.665999335
AC009299.5,0.057421906,0.557027759
AC009302.2,-0.048849897,0.635629706
AC009303.1,0.020510082,0.726153084
AC009336.24,-0.103962208,0.339841073
AC009362.2,-0.049147943,0.571703971
AC009403.2,-0.033398583,0.334993873
AC009404.2,0.035126635,0.384339176
AC009469.1,0.051191978,0.111865811
AC009473.1,-0.025279951,0.838442028
AC009487.5,7.06E-05,0.999371033
AC009492.1,-0.056559267,0.593488561
AC009495.3,-0.135267566,0.082394461
AC009501.4,0.016193882,0.794719554
AC009505.2,0.030167523,0.747361591
AC009506.1,0.002178466,0.959945388
AC009518.8,0.026665916,0.679564227
AC009948.5,0.001153034,0.973319538
AC009948.7,0.062136459,0.445109573
AC009950.2,0.037589482,0.680570684
AC009951.1,-0.117071047,0.023632737
AC009961.2,-0.02423644,0.8071776
AC009961.3,-0.031882766,0.54869326
AC009967.3,0.025254848,0.829906105
AC010127.3,-0.124722729,0.011255169
AC010127.5,0.001249556,0.98626981
AC010150.1,-0.02403486,0.829167422
AC010226.4,-0.017355587,0.805235609
AC010240.2,-0.012198278,0.877440443
AC010335.1,0.148915249,0.284817972
AC010441.1,0.051359888,0.186327905
AC010504.2,-0.031294918,0.711648987
AC010522.1,0.010361814,0.908349488
AC010524.2,-0.066140798,0.377444136
AC010525.6,-0.087864205,0.317971473
AC010525.7,-0.121610531,0.067939987
AC010536.1,-0.008165218,0.905284688
AC010547.9,-0.105218256,0.313554935
AC010642.1,0.012630938,0.849032356
AC010642.2,0.024092416,0.812512496
AC010649.1,-0.172327065,0.216374991
AC010731.2,-0.007442025,0.940165961
AC010731.4,0.104760161,0.046976268
AC010733.5,-0.10865769,0.21090686
AC010740.1,0.049867156,0.362109835
AC010761.13,-0.144243853,0.037786697
AC010761.8,0.063055504,0.405742831
AC010761.9,0.047170029,0.710006937
AC010883.5,0.042477621,0.649932151
AC010884.1,-0.104277722,0.173011694
AC010886.2,-0.039066201,0.614467314
