"external_gene_name","log2FC","FDR"
"UBE4B",-0.436455604148679,0.164820788816964
"KIF1B",-0.156061850917446,0.321097710855428
"PGD",-2.0714237756142,2.72241787738128e-05
"CENPS-CORT",-1.66790425686345,0.0377684022496029
"CENPS",-1.28454766746834,0.0251957842143562
"DFFA",-1.05882260567466,0.0022441019330063
"PEX14",-0.120657447318243,0.719416897608489
"CASZ1",0.473680907013846,0.518217494763572
"TARDBP",0.217547348202852,0.0929192332546569
"AL109811.2",1.6646665042828,0.00237095117592287
"SRM",-1.30929236174114,0.00308312502094429
"EXOSC10",-0.416790641031736,0.0660107810106877
"MTOR",-0.046489851676485,0.822395151925927
"UBIAD1",-0.43001390400038,0.167322823967254
"FBXO2",1.91527776302868,0.0359777247127619
"FBXO44",-0.0131255144506104,0.957864578372823
"FBXO6",0.759694070197591,0.235150326304446
"MAD2L2",-0.690425216435451,0.0435479846301631
"DRAXIN",-0.691535185588334,0.176070219679211
"AGTRAP",-1.03685571895716,0.00101976491798808
"MTHFR",0.283165326477547,0.463604561039978
"CLCN6",0.933978932109937,0.00897312978853062
"KIAA2013",-0.955828867997313,0.00046660967053981
"PLOD1",-1.53366764081951,2.81309083156907e-05
"MFN2",-0.146648499847322,0.407822166527835
"MIIP",0.456476214627724,0.306343835144818
"TNFRSF1B",0.580455174492825,0.451023819028415
"VPS13D",-0.401436546087504,0.533976830861257
"DHRS3",0.401256365442449,0.0437974923265699
"AC254633.1",1.27210420591361,0.0289501203593652
"PRDM2",0.698302880770741,0.0234310759887326
"KAZN",0.0303618826983153,0.937182297138295
"TMEM51-AS1",-0.719468489933611,0.20603661608251
"TMEM51",0.649976258532504,0.00559130214017505
"AL031283.1",0.868268302951531,0.198089492878195
"EFHD2",0.489293359984234,0.0341403713549357
"CTRC",-0.101416371485992,0.931245875580404
"CASP9",-0.197809891061558,0.613291139092921
"DNAJC16",-0.228258618503051,0.676565940170632
"AGMAT",-1.38188893518912,0.0205572769428632
"DDI2",-0.528628544475697,0.136731118540449
"RSC1A1",0.841042617423811,0.325578494988152
"PLEKHM2",1.29846092451418,0.000115468297393253
"FBLIM1",0.140966990663396,0.669036768046007
"UQCRHL",-1.74225489122691,0.000710060956965793
"AL450998.2",0.251495013152567,0.685392698800038
"SPEN",1.6118109510361,4.32272952627067e-05
"ZBTB17",1.92797281645565,0.00181555162222546
"FAM131C",-0.91305995273791,0.0570603824504049
"EPHA2",0.668617205790302,0.000768915804383715
"ARHGEF19",-0.397223810821557,0.438718936631556
"AL109627.1",0.642816493645286,0.156427012832847
"FBXO42",0.410711825806719,0.058873386931712
"SZRD1",-0.441344330069885,0.0247429109871853
"NECAP2",0.346073882441488,0.0370508847599935
"CROCCP3",-2.51177514604874,0.0793165008138558
"RNU1-1",2.01534293535255,0.00106544325316662
"AL137802.2",2.19589579222278,0.000565021415581371
"NBPF1",0.761932782178324,0.00143974312029142
"CROCCP2",0.625387078676669,0.056791013403496
"CROCC",0.620954974077638,0.117738450443098
"BX284668.5",-0.893526502130476,0.0794273636425561
"ATP13A2",-0.58140860306678,0.0500695303643384
"SDHB",-0.955128796708598,0.0011164933364584
"PADI2",-0.60346790907802,0.208545446605106
"RCC2",-1.30450502842111,6.54099695064312e-05
"ARHGEF10L",-0.36841282819604,0.235949994191472
"KLHDC7A",-1.99385806912296,0.00185474343939468
"PAX7",-0.918694341393948,0.0358697562115447
"ALDH4A1",-2.12843863501191,6.12760896900739e-05
"IFFO2",-0.1319438833164,0.370427953913429
"UBR4",1.21375258907698,0.000444573647109853
"EMC1",-1.53363270542272,0.000452538512786822
"MRTO4",-1.02984904480513,0.000212346679057896
"AKR7A2",-1.62163469466485,0.00224575262629931
"SLC66A1",-0.0598208144452736,0.825142269746027
"CAPZB",-1.78169073436776,1.67479710360495e-05
"MICOS10",-0.289456275315448,0.234809664176121
"NBL1",-0.849842878966917,0.00542035952392113
"AL031727.1",3.22787094243247,0.000518841363831075
"TMCO4",-0.653769714554446,0.113176769723775
"OTUD3",2.95597060540207,0.000733405064635719
"CAMK2N1",0.059292632831704,0.725690100212233
"MUL1",-0.471672250564303,0.0175883169528102
"FAM43B",0.27557477284345,0.670618507106203
"CDA",-0.302369538107917,0.306993952604346
"PINK1",-0.627256485911607,0.0116918965336372
"PINK1-AS",-2.32621262644022,0.000536406297314889
"DDOST",-1.86609382778786,2.0835110518421e-05
"SH2D5",1.39287455910244,0.0016933488767482
"HP1BP3",-0.156182534481059,0.33385844297451
"EIF4G3",0.433506691195353,0.0145852160518526
"ECE1",0.243403077308511,0.363217269858886
"NBPF3",0.292675194778234,0.398756957851825
"RAP1GAP",-1.27285885771764,0.0426775207232573
"USP48",-0.479526750726161,0.0704811410443768
"HSPG2",-0.65024691486014,0.0270816245447226
"LINC00339",-0.350294530832642,0.207342337825048
"CDC42",-0.352486167058874,0.0100505927796817
"ZBTB40",0.672786229333575,0.00344337745187513
"EPHB2",0.0688762693459896,0.724424419436472
"KDM1A",-0.647048866490311,0.00269971337988598
"LUZP1",0.417380927363986,0.0499452503240931
"HTR1D",-0.834802480706677,0.00717184195259463
"LINC01355",1.80495336918502,0.00028418724472355
"HNRNPR",-0.761885801144596,0.00086505854203557
"ZNF436",2.83719642967119,8.20994840451895e-06
"ZNF436-AS1",2.06813851921338,0.00268560768697448
"ASAP3",0.104783467910922,0.818918845901342
"E2F2",-0.83484634068958,0.0760628656682086
"ID3",0.409311858699342,0.0272976899156238
"RPL11",-0.211021519292821,0.0516339466694841
"ELOA",0.919877138484056,0.000459277878352252
"PITHD1",0.128133056104447,0.62083820293871
"LYPLA2",-0.751155367215556,0.00930603015316608
"GALE",-0.430167622803406,0.0317449072157271
"HMGCL",-0.987451592630089,0.00366785527759657
"FUCA1",-0.833556129474053,0.00321901732011235
"CNR2",1.07968905239845,0.0362375564926443
"PNRC2",2.42243463666284,0.000494693047246491
"SRSF10",0.837010194397894,0.000382470957216898
"MYOM3",-0.731754284891255,0.0241550043668676
"IL22RA1",2.14303886026056,0.000845568737552616
"IFNLR1",1.13229110287617,0.00272519878477953
"GRHL3",1.10877690693959,0.0168280674262375
"STPG1",0.276955565287504,0.371650361062579
"NIPAL3",-1.45621271842017,0.00273074426967328
"RCAN3",-0.535812130879515,0.179768566981829
"NCMAP",-0.773301636185522,0.40340700222604
"SRRM1",1.04883448704711,0.000528625014171418
"CLIC4",0.342823210484665,0.0362281291507043
"RUNX3",0.313589470308569,0.331663843009356
"SYF2",1.02604550373033,0.00118567416481917
"AL031432.4",1.66840232402853,0.00593335125769002
"RSRP1",1.62706934710707,0.000202535536166955
"TMEM50A",-0.392617247756307,0.0173886276860319
"MACO1",-0.365168822359303,0.158987923694332
"LDLRAP1",-0.820216827015533,0.0389430858078831
"SELENON",-0.922911658471885,0.00168699892869306
"MTFR1L",-0.456320734807809,0.0626004221500347
"AUNIP",-0.130438505241727,0.826745880105634
"PAQR7",-0.0624368884124017,0.863564822898165
"STMN1",-1.47064692975607,0.00049869491309798
"PAFAH2",1.14503702821828,0.163040446097159
"PDIK1L",1.15233253382093,0.00423008433790083
"ZNF593",0.143958715444514,0.642865306092999
"CEP85",-0.694614255965774,0.0303214143214515
"SH3BGRL3",-0.563489221633423,0.00328258858270634
"UBXN11",-0.460942135479189,0.0995543935078367
"DHDDS",-0.00424030817934804,0.989001445225359
"HMGN2",0.855099324320139,0.000475257219396809
"RPS6KA1",0.195207359730749,0.485624986201216
"ARID1A",0.655931273301985,0.0122193327723182
"PIGV",-1.05372906681574,0.0181319322605542
"ZDHHC18",-0.943078632828188,0.00233150678096776
"SFN",-1.36005295873596,0.000205070948044197
"GPN2",-0.193777892742193,0.513064189144197
"GPATCH3",0.502223313717899,0.0891066583816878
"NUDC",-1.25243106555833,7.78062771463225e-05
"TRNP1",-1.58774830998105,4.78513348798479e-05
"TENT5B",0.947284138734594,0.281309250592086
"SLC9A1",-0.276924614220667,0.328267256431225
"WDTC1",-0.286514706939124,0.303933889055263
"TMEM222",0.22105586413552,0.300255247262232
"ACTG1P20",2.97004869472505,0.000538757248722352
"SYTL1",-0.922156957881127,0.227193976454604
"MAP3K6",-0.171539706761055,0.851111519159307
"GPR3",2.61752335825247,0.000152389264273155
"WASF2",-0.121492002756083,0.431644174679952
"AHDC1",-0.111820169704623,0.722959336435297
"IFI6",3.18219872428688,1.4831639420629e-05
"FAM76A",0.00400159767530374,0.993400642160243
"STX12",0.133824964228077,0.542096310833237
"PPP1R8",-0.0388408595086195,0.911062409342448
"THEMIS2",3.85231960708342,0.00029162199901368
"RPA2",-1.52716492567792,0.000290081730402606
"SMPDL3B",-3.82191835489615,0.000160014517033239
"XKR8",-1.04313406943582,0.19806922249723
"EYA3",1.20263734481517,0.000484530262587429
"PTAFR",0.0844831240618451,0.867812812995457
"DNAJC8",0.570811482178703,0.00242038044238518
"ATP5IF1",-1.78532552612208,2.10598858336563e-05
"AL353622.1",0.602876382753654,0.13800230855376
"SESN2",0.0620381199510723,0.758409482981951
"MED18",0.441118098576217,0.372107175505393
"PHACTR4",0.943569602211824,0.00101762015740366
"RCC1",-0.766411587529836,0.00272237591193748
"SNHG3",0.253155489550392,0.269018471885567
"AL513497.1",-0.64053985589431,0.154071743231646
"TRNAU1AP",-0.410605698802673,0.160871611397732
"SNHG12",1.66304017648762,0.000124205536301366
"TAF12",-0.995493987878277,0.00481589243542107
"RAB42",0.0856417567176908,0.877090378250264
"GMEB1",0.756852466290495,0.00953099806916141
"YTHDF2",0.733182361024098,0.00171359201133173
"OPRD1",3.09712310002323,0.0109825376528622
"EPB41",0.235064530180289,0.274618586855073
"SRSF4",0.932700507317282,0.00394827180188825
"MECR",-1.00830661017702,0.00824299079505221
"PTPRU",-0.633338071384399,0.215012396425014
"MATN1-AS1",0.888553917229994,0.12525773535764
"SDC3",-1.53436145734304,0.000266581510290628
"PUM1",1.44960685107408,3.01735999813174e-05
"NKAIN1",1.22843368395534,0.209711311552512
"SNRNP40",0.380982406800212,0.0650147807689255
"ZCCHC17",-0.592518551799527,0.0496712868254173
"SERINC2",-0.378485234368973,0.050216634360986
"PEF1",-1.01906317698042,0.000356623558644621
"COL16A1",1.13050582882678,0.00276812715485531
"ADGRB2",0.248657941737207,0.566678064560785
"SPOCD1",0.728941895700107,0.0568173768235923
"AL354919.1",2.36061487008558,0.000402708001443299
"AL136115.2",6.30533070172651,0.00110796153192417
"PTP4A2",0.548662222466094,0.00160656251360465
"KHDRBS1",-0.676265919994543,0.000632477562817898
"AL445248.1",2.57793894287419,0.000903593485261956
"TMEM39B",-0.261180041841055,0.660424759406853
"KPNA6",0.327090504603913,0.0779465469955251
"TXLNA",0.107270948951688,0.427646140932818
"TMEM234",-0.168922532382028,0.646664035595085
"EIF3I",-0.481257851583139,0.0140707277032114
"HDAC1",-0.983419308823724,0.000380651139863999
"MARCKSL1",-1.65979259732766,0.000101175575433787
"FAM229A",1.74149665794165,0.00172904315906221
"BSDC1",-0.011041627122272,0.962722504390298
"ZBTB8B",1.83711204661303,0.00179240648154928
"ZBTB8A",-0.0108755881542793,0.980544477995647
"ZBTB8OS",0.164853908946731,0.463590671790874
"RBBP4",-0.998580878337625,0.00099165205828482
"SYNC",-1.35948969157164,0.00230380875825199
"KIAA1522",-0.012815159437601,0.948477561534093
"YARS1",-0.0332848024917497,0.8477097309393
"S100PBP",0.51207362748634,0.165152902602108
"TMEM54",-0.294408309793993,0.302901926893575
"RNF19B",1.77826852971984,3.29936266311965e-05
"AK2",0.20765544094662,0.126574487612954
"AZIN2",1.23813110582756,0.0991504748380717
"TRIM62",-0.0157689000276733,0.98958201811124
"AL662907.3",0.653406703305752,0.433487431582443
"ZNF362",-0.274505984737469,0.483254015673577
"PHC2",1.07671529420051,0.00128795896824869
"ZSCAN20",0.546380643420615,0.0700606937779935
"SMIM12",-0.325615731699334,0.145684887546283
"AC114490.2",-0.248956832147307,0.787393495207365
"TMEM35B",-0.636414691355281,0.0892663632160223
