sitelink	item	itemLabel	go	gene_symbol	entrez	ensembl_gene_id
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	BECN1	8678	ENSG00000126581
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	BRCA1	672	ENSG00000012048
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PIM1	5292	ENSG00000137193
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	PRNP	5621	ENSG00000171867
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	NBN	4683	ENSG00000104320
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDKN1C	1028	ENSG00000129757
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDKN1C	1028	ENSG00000273707
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	SPAST	6683	ENSG00000021574
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	GPER1	2852	ENSG00000164850
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	RBL2	5934	ENSG00000103479
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	MCM2	4171	ENSG00000073111
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	RUVBL1	8607	ENSG00000175792
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	RUVBL1	8607	ENSG00000284901
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDT1	81620	ENSG00000167513
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDK3	1018	ENSG00000250506
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	KLK10	5655	ENSG00000129451
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	NUMA1	4926	ENSG00000137497
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CDC7	8317	ENSG00000097046
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CROCC	9696	ENSG00000058453
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	CCND1	595	ENSG00000110092
https://en.wikipedia.org/wiki/Cell_cycle	http://www.wikidata.org/entity/Q188941	cell cycle	GO:0007049	NIPBL	25836	ENSG00000164190
